notice_id,apt_name,field,manual_value,status,note
2025000524,용인 푸르지오 원클러스터파크,supply_type,,pending,API retry failed or returned empty data
2025000545,이천 증포5지구 칸타빌 에듀파크,supply_type,,pending,API retry failed or returned empty data
2025000552,한화포레나 부산대연,supply_type,,pending,API retry failed or returned empty data
2025000553,서수원 에피트 센트럴마크(M2BL),supply_type,,pending,API retry failed or returned empty data
2025000554,서수원 에피트 센트럴마크(M1BL),supply_type,,pending,API retry failed or returned empty data
2025000566,역삼센트럴자이,supply_type,,pending,API retry failed or returned empty data
2025000581,이천 중리지구 B3블록 금성백조 예미지,supply_type,,pending,API retry failed or returned empty data
2025000582,송도 한내들 센트럴리버,supply_type,,pending,API retry failed or returned empty data
2025000586,e편한세상 내포 에듀플라츠(공공주택),supply_type,,pending,API retry failed or returned empty data
2025000587,e편한세상 내포 에듀플라츠(민영주택),supply_type,,pending,API retry failed or returned empty data
2025000591,시흥거모 엘가 로제비앙,supply_type,,pending,API retry failed or returned empty data
2025000595,더샵 분당센트로,supply_type,,pending,API retry failed or returned empty data
2025000601,창원 센트럴 아이파크,supply_type,,pending,API retry failed or returned empty data
2025000602,"인천영종국제도시 디에트르 라 메르Ⅰ(RC4-1,2BL)(본청약)",supply_type,,pending,API retry failed or returned empty data
2025000605,힐스테이트 선암호수공원 1단지,supply_type,,pending,API retry failed or returned empty data
2025000606,힐스테이트 선암호수공원 2단지,supply_type,,pending,API retry failed or returned empty data
2025000610,태화강 센트럴 아이파크,supply_type,,pending,API retry failed or returned empty data
2025000615,둔산 자이 아이파크,supply_type,,pending,API retry failed or returned empty data
2025000616,둔산 자이 아이파크(보류지),supply_type,,pending,API retry failed or returned empty data
2025000617,영종하늘도시 대라수 어썸(A50BL),supply_type,,pending,API retry failed or returned empty data
2025000619,안동리첼스카이파크,supply_type,,pending,API retry failed or returned empty data
2025000620,전주 에코시티 더 클래스,supply_type,,pending,API retry failed or returned empty data
2025000622,수지자이 에디시온,supply_type,,pending,API retry failed or returned empty data
2025000624,해남 남외리 정하 에코프라임,supply_type,,pending,API retry failed or returned empty data
2025000625,행정중심복합도시 5-1L1블록 공공분양주택,supply_type,,pending,API retry failed or returned empty data
2025000629,동래 푸르지오 에듀포레,supply_type,,pending,API retry failed or returned empty data
2025000632,용인 푸르지오 클루센트,supply_type,,pending,API retry failed or returned empty data
2025000634,영종국제도시 신일 비아프 크레스트(1단지),supply_type,,pending,API retry failed or returned empty data
2025000635,영종국제도시 신일 비아프 크레스트(2단지),supply_type,,pending,API retry failed or returned empty data
2025000640,강릉역 경남아너스빌 더 센트로(조합원 취소분),supply_type,,pending,API retry failed or returned empty data
2025000642,인천영종지구 A24블록 공공분양주택(본청약),supply_type,,pending,API retry failed or returned empty data
2025000643,김포고촌2지구 A1블록 공공분양주택,supply_type,,pending,API retry failed or returned empty data
2025000644,남양주진접2지구 B-1블록 공공분양(본청약),supply_type,,pending,API retry failed or returned empty data
2025000646,구리갈매역세권 A-4블록 공공분양주택(본청약),supply_type,,pending,API retry failed or returned empty data
2025000647,구리갈매역세권 A-4블록 6년 분양전환공공임대주택(본청약),supply_type,,pending,API retry failed or returned empty data
2025000649,울산다운2지구 A-10블록 공공분양주택,supply_type,,pending,API retry failed or returned empty data
2025000650,힐스테이트 물금센트럴,supply_type,,pending,API retry failed or returned empty data
2025000659,과천주암지구 C1블록 공공분양주택(본청약),supply_type,,pending,API retry failed or returned empty data
2025820016,군포대야미 A2블록 신혼희망타운(공공분양)(본청약),supply_type,,pending,API retry failed or returned empty data
2025820019,남양주진접2 지구 A-3블록 신혼희망타운(공공분양)(본청약),supply_type,,pending,API retry failed or returned empty data
2025820020,과천주암지구 C1블록 신혼희망타운(공공분양)(본청약),supply_type,,pending,API retry failed or returned empty data
